epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1578.61,0.47682,0.45846,0.89634,0.92268,1,0.99022,0.89322,0.44015,0.44156,0.83164,0.00185744,0.00185744,0.00185744
74,1599.93,0.50316,0.46745,0.90735,0.94573,1,0.99151,0.88608,0.46657,0.44879,0.83881,0.00185546,0.00185546,0.00185546
75,1621.25,0.49202,0.46875,0.9158,0.94499,1,0.99065,0.89326,0.43243,0.44295,0.82888,0.00185348,0.00185348,0.00185348
76,1643.06,0.44581,0.43635,0.89085,0.97285,0.99554,0.99284,0.88556,0.42359,0.43917,0.82683,0.0018515,0.0018515,0.0018515
77,1664.98,0.45243,0.44432,0.87032,0.9729,0.99741,0.99203,0.89704,0.44481,0.44574,0.83303,0.00184952,0.00184952,0.00184952
78,1686.48,0.45156,0.43237,0.85945,0.96616,0.94444,0.98777,0.89,0.43975,0.45366,0.83628,0.00184754,0.00184754,0.00184754
79,1707.89,0.44676,0.41976,0.86888,0.92075,0.96832,0.98723,0.90486,0.43973,0.46047,0.8445,0.00184556,0.00184556,0.00184556
80,1729.4,0.47059,0.42911,0.85794,0.94054,0.97222,0.98268,0.9141,0.44297,0.47412,0.84197,0.00184358,0.00184358,0.00184358
81,1750.79,0.40729,0.42331,0.88953,0.94379,0.97222,0.984,0.90544,0.44934,0.47363,0.8412,0.0018416,0.0018416,0.0018416
82,1772.89,0.42887,0.41381,0.87859,0.96803,0.97222,0.99008,0.92906,0.44321,0.44325,0.84673,0.00183962,0.00183962,0.00183962
83,1794.31,0.48643,0.43789,0.884,0.99274,0.94444,0.98974,0.91988,0.43732,0.44677,0.8675,0.00183764,0.00183764,0.00183764
84,1815.72,0.43079,0.40623,0.86406,0.99489,0.94444,0.98948,0.91345,0.41899,0.42042,0.85238,0.00183566,0.00183566,0.00183566
85,1837.56,0.44914,0.42432,0.89399,1,0.9439,0.98948,0.91266,0.43596,0.4158,0.84263,0.00183368,0.00183368,0.00183368
86,1859.42,0.40108,0.41291,0.8438,0.94317,0.97222,0.99008,0.90093,0.44757,0.40944,0.83756,0.0018317,0.0018317,0.0018317
87,1881.36,0.41558,0.38305,0.85363,0.94313,0.97222,0.98932,0.91606,0.40946,0.41079,0.82694,0.00182972,0.00182972,0.00182972
88,1902.65,0.43208,0.40042,0.86003,0.94577,0.96901,0.9889,0.89968,0.41837,0.43554,0.82979,0.00182774,0.00182774,0.00182774
89,1924.22,0.43862,0.43003,0.87911,0.92282,0.99646,0.9903,0.90196,0.45172,0.44635,0.83158,0.00182576,0.00182576,0.00182576
90,1946.07,0.48613,0.41094,0.90922,0.94244,0.97222,0.98909,0.91288,0.4125,0.43324,0.8393,0.00182378,0.00182378,0.00182378
91,1968.14,0.43469,0.41103,0.87449,0.8977,1,0.98652,0.91281,0.382,0.42724,0.83397,0.0018218,0.0018218,0.0018218
92,1990.08,0.43139,0.39349,0.88688,0.89699,0.96759,0.98302,0.90967,0.40753,0.45335,0.82767,0.00181982,0.00181982,0.00181982
93,2011.73,0.39963,0.37741,0.8649,0.87726,0.99283,0.98182,0.90275,0.45203,0.48311,0.83492,0.00181784,0.00181784,0.00181784
94,2032.85,0.49397,0.42949,0.89339,0.94857,0.88889,0.97376,0.89684,0.40257,0.47793,0.82047,0.00181586,0.00181586,0.00181586
95,2054.31,0.46689,0.44256,0.90686,0.94243,0.94444,0.98424,0.89702,0.39958,0.43224,0.8224,0.00181388,0.00181388,0.00181388
96,2075.65,0.42542,0.38468,0.86215,1,0.91486,0.9849,0.91001,0.41374,0.40412,0.83627,0.0018119,0.0018119,0.0018119
97,2097.78,0.44056,0.39677,0.86423,1,0.93363,0.99052,0.91302,0.39852,0.40943,0.82289,0.00180992,0.00180992,0.00180992
98,2119.79,0.41725,0.39389,0.84978,0.99142,0.97222,0.99174,0.90989,0.4187,0.40855,0.82886,0.00180794,0.00180794,0.00180794
99,2141.26,0.43017,0.40432,0.87199,0.97848,0.94444,0.99263,0.91599,0.40197,0.3966,0.82231,0.00180596,0.00180596,0.00180596
100,2163.24,0.42618,0.40366,0.8825,1,0.94162,0.99184,0.92404,0.4052,0.42279,0.82034,0.00180398,0.00180398,0.00180398
101,2185.11,0.4149,0.38538,0.88196,0.9228,0.9962,0.98934,0.92068,0.4207,0.43431,0.82648,0.001802,0.001802,0.001802
102,2206.67,0.44254,0.38554,0.86079,0.92285,0.99683,0.98617,0.92819,0.39174,0.45174,0.82262,0.00180002,0.00180002,0.00180002
103,2228.27,0.39785,0.36694,0.87631,0.87586,0.97222,0.98088,0.92828,0.37752,0.45058,0.81742,0.00179804,0.00179804,0.00179804
104,2250.42,0.45831,0.40432,0.90192,0.92303,0.99936,0.98949,0.9436,0.37924,0.43661,0.81526,0.00179606,0.00179606,0.00179606
105,2272.17,0.42917,0.39539,0.88289,0.92201,1,0.98885,0.92827,0.38579,0.40974,0.82045,0.00179408,0.00179408,0.00179408
106,2293.84,0.40911,0.38644,0.86627,0.94154,1,0.98991,0.93237,0.35403,0.37714,0.81467,0.0017921,0.0017921,0.0017921
107,2315.38,0.42594,0.3818,0.85485,0.94551,1,0.96342,0.88926,0.36673,0.3903,0.81575,0.00179012,0.00179012,0.00179012
108,2337.31,0.43247,0.38243,0.8593,0.94489,1,0.95553,0.89594,0.37648,0.40222,0.81566,0.00178814,0.00178814,0.00178814
109,2360.81,0.40606,0.35963,0.87916,0.94429,1,0.96301,0.90659,0.36386,0.40102,0.81446,0.00178616,0.00178616,0.00178616
110,2387.52,0.39149,0.36354,0.86844,0.94407,1,0.9766,0.92165,0.3571,0.3885,0.81583,0.00178418,0.00178418,0.00178418
111,2414.14,0.42326,0.38863,0.86138,0.94136,1,0.98497,0.92219,0.37926,0.39795,0.81772,0.0017822,0.0017822,0.0017822
112,2440.09,0.40452,0.38634,0.87603,0.93986,1,0.98923,0.91447,0.40679,0.38322,0.82464,0.00178022,0.00178022,0.00178022
113,2465.39,0.43111,0.39466,0.89601,0.9632,1,0.99203,0.92422,0.40081,0.38857,0.83036,0.00177824,0.00177824,0.00177824
114,2490.86,0.40225,0.35942,0.83962,0.96461,1,0.99365,0.90755,0.40482,0.40966,0.82994,0.00177626,0.00177626,0.00177626
115,2515.12,0.42668,0.36549,0.88096,0.94715,0.99579,0.99311,0.89979,0.4349,0.45304,0.82803,0.00177428,0.00177428,0.00177428
116,2540.25,0.39285,0.35862,0.85717,0.95893,1,0.99149,0.90366,0.44159,0.47409,0.82615,0.0017723,0.0017723,0.0017723
117,2565.52,0.47426,0.38989,0.8977,0.96883,1,0.99149,0.89122,0.43059,0.44114,0.82525,0.00177032,0.00177032,0.00177032
118,2590.55,0.43618,0.3585,0.86374,0.95282,0.97222,0.99096,0.91461,0.41571,0.42588,0.81851,0.00176834,0.00176834,0.00176834
119,2615.24,0.41608,0.36278,0.85778,0.94635,0.9802,0.99228,0.91308,0.42798,0.39544,0.82282,0.00176636,0.00176636,0.00176636
120,2638.19,0.37973,0.36412,0.87443,0.96889,1,0.99446,0.90603,0.42285,0.3556,0.82447,0.00176438,0.00176438,0.00176438
121,2661.31,0.4332,0.37106,0.86666,0.97102,1,0.99365,0.91902,0.3968,0.36037,0.81839,0.0017624,0.0017624,0.0017624
122,2684.47,0.42291,0.36295,0.86853,0.97224,1,0.99203,0.92961,0.39063,0.38321,0.81202,0.00176042,0.00176042,0.00176042
